Rank,title,studio,opening_gross,rotten_tomatoes,budget,Theaters,Average,Total Gross**,Date^
54,Sinbad: Legend of the Seven Seas,DreamWorks,6.87,0.46,60,"3,086","$2,227 ","$26,483,452 ",7/2/03
55,The Adventures of Rocky & Bullwinkle,Universal,6.81,0.43,76,"2,460","$2,770 ","$26,005,820 ",6/30/00
56,Summer of Sam,Buena Vista,5.95,0.51,22,"1,536","$3,875 ","$19,288,130 ",7/2/99
58,Problem Child 2,Universal,5.37,0.07,15,"1,464","$3,670 ","$25,104,700 ",7/5/91
59,Rebound,Fox,5.03,0.13,33,"2,464","$2,042 ","$16,809,014 ",7/1/05
61,Innerspace,Warner Bros.,4.74,0.81,27,"1,603","$2,956 ","$25,893,810 ",7/3/87
65,The Powerpuff Girls Movie,Warner Bros.,3.58,0.63,11,"2,340","$1,531 ","$11,412,414 ",7/3/02
68,The Great Mouse Detective,Buena Vista,3.22,0.81,14,"1,138","$2,829 ","$25,336,794 ",7/4/86
75,Big Trouble in Little China,Fox,2.72,0.82,25,"1,053","$2,586 ","$11,100,000 ",7/4/86
76,Red Sonja,MGM,2.26,0.15,18,"1,091","$2,074 ","$6,948,633 ",7/5/85
